date,time,park,ride,wait
03/05/2022,10:15,magic-kingdom,Astro Orbiter,40.0
03/05/2022,10:15,magic-kingdom,The Barnstormer,15.0
03/05/2022,10:15,magic-kingdom,Big Thunder Mountain Railroad,65.0
03/05/2022,10:15,magic-kingdom,Buzz Lightyear's Space Ranger Spin,40.0
03/05/2022,10:15,magic-kingdom,Dumbo the Flying Elephant,15.0
03/05/2022,10:15,magic-kingdom,Haunted Mansion,30.0
03/05/2022,10:15,magic-kingdom,"""it's a small world""",40.0
03/05/2022,10:15,magic-kingdom,Jungle Cruise,45.0
03/05/2022,10:15,magic-kingdom,Mad Tea Party,5.0
03/05/2022,10:15,magic-kingdom,The Magic Carpets of Aladdin,20.0
03/05/2022,10:15,magic-kingdom,The Many Adventures of Winnie the Pooh,30.0
03/05/2022,10:15,magic-kingdom,Mickey's PhilharMagic,5.0
03/05/2022,10:15,magic-kingdom,Monsters Inc. Laugh Floor,5.0
03/05/2022,10:15,magic-kingdom,Peter Pan's Flight,70.0
03/05/2022,10:15,magic-kingdom,Pirates of the Caribbean,
03/05/2022,10:15,magic-kingdom,Prince Charming Regal Carrousel,15.0
03/05/2022,10:15,magic-kingdom,Seven Dwarfs Mine Train,65.0
03/05/2022,10:15,magic-kingdom,Space Mountain,45.0
03/05/2022,10:15,magic-kingdom,Splash Mountain,
03/05/2022,10:15,magic-kingdom,Tomorrowland Speedway,20.0
03/05/2022,10:15,magic-kingdom,Tomorrowland Transit Authority PeopleMover,0.0
03/05/2022,10:15,magic-kingdom,Under the Sea ~ Journey of The Little Mermaid,5.0
03/05/2022,10:16,epcot,Frozen Ever After,50.0
03/05/2022,10:16,epcot,Gran Fiesta Tour,5.0
03/05/2022,10:16,epcot,Journey Into Imagination With Figment,5.0
03/05/2022,10:16,epcot,Living with the Land,5.0
03/05/2022,10:16,epcot,Mission: SPACE,10.0
03/05/2022,10:16,epcot,Remy's Ratatouille Adventure,30.0
03/05/2022,10:16,epcot,The Seas with Nemo & Friends,5.0
03/05/2022,10:16,epcot,Soarin' Around the World,15.0
03/05/2022,10:16,epcot,Spaceship Earth,10.0
03/05/2022,10:16,epcot,Test Track,70.0
03/05/2022,10:16,hollywood-studios,Alien Swirling Saucers,40.0
03/05/2022,10:16,hollywood-studios,Mickey & Minnie's Runaway Railway,60.0
03/05/2022,10:16,hollywood-studios,Millennium Falcon: Smugglers Run,55.0
03/05/2022,10:16,hollywood-studios,Muppet*Vision 3D,10.0
03/05/2022,10:16,hollywood-studios,Rock 'n' Roller Coaster Starring Aerosmith,60.0
03/05/2022,10:16,hollywood-studios,Slinky Dog Dash,65.0
03/05/2022,10:16,hollywood-studios,Star Tours – The Adventures Continue,30.0
03/05/2022,10:16,hollywood-studios,Star Wars: Rise of the Resistance,135.0
03/05/2022,10:16,hollywood-studios,Toy Story Mania!,50.0
03/05/2022,10:16,hollywood-studios,The Twilight Zone Tower of Terror,70.0
03/05/2022,10:16,animal-kingdom,Avatar Flight of Passage,65.0
03/05/2022,10:16,animal-kingdom,DINOSAUR,30.0
03/05/2022,10:16,animal-kingdom,Expedition Everest,
03/05/2022,10:16,animal-kingdom,It's Tough to be a Bug!,15.0
03/05/2022,10:16,animal-kingdom,Kali River Rapids,15.0
03/05/2022,10:16,animal-kingdom,Kilimanjaro Safaris,
03/05/2022,10:16,animal-kingdom,Na'vi River Journey,70.0
03/05/2022,10:16,animal-kingdom,TriceraTop Spin,10.0
03/05/2022,10:20,magic-kingdom,Astro Orbiter,40.0
03/05/2022,10:20,magic-kingdom,The Barnstormer,15.0
03/05/2022,10:20,magic-kingdom,Big Thunder Mountain Railroad,75.0
03/05/2022,10:20,magic-kingdom,Buzz Lightyear's Space Ranger Spin,20.0
03/05/2022,10:20,magic-kingdom,Dumbo the Flying Elephant,25.0
03/05/2022,10:20,magic-kingdom,Haunted Mansion,50.0
03/05/2022,10:20,magic-kingdom,"""it's a small world""",40.0
03/05/2022,10:20,magic-kingdom,Jungle Cruise,55.0
03/05/2022,10:20,magic-kingdom,Mad Tea Party,5.0
03/05/2022,10:20,magic-kingdom,The Magic Carpets of Aladdin,40.0
03/05/2022,10:20,magic-kingdom,The Many Adventures of Winnie the Pooh,30.0
03/05/2022,10:20,magic-kingdom,Mickey's PhilharMagic,5.0
03/05/2022,10:20,magic-kingdom,Monsters Inc. Laugh Floor,5.0
03/05/2022,10:20,magic-kingdom,Peter Pan's Flight,80.0
03/05/2022,10:20,magic-kingdom,Pirates of the Caribbean,
03/05/2022,10:20,magic-kingdom,Prince Charming Regal Carrousel,15.0
03/05/2022,10:20,magic-kingdom,Seven Dwarfs Mine Train,80.0
03/05/2022,10:20,magic-kingdom,Space Mountain,45.0
03/05/2022,10:20,magic-kingdom,Splash Mountain,
03/05/2022,10:20,magic-kingdom,Tomorrowland Speedway,20.0
03/05/2022,10:20,magic-kingdom,Tomorrowland Transit Authority PeopleMover,0.0
03/05/2022,10:20,magic-kingdom,Under the Sea ~ Journey of The Little Mermaid,5.0
03/05/2022,10:20,epcot,Frozen Ever After,50.0
